;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;winbond
W25X80V,     0xEF3014, 0x800000,   0x1000, 0x20, 64, 0
W25X16BV,    0xEF3015, 0x1000000,  0x1000, 0x20, 64, 0
W25X32BV,    0xEF3016, 0x2000000,  0x1000, 0x20, 64, 0
W25X64BV,    0xEF3017, 0x4000000,  0x1000, 0x20, 64, 0
W25X40V,     0xEF3013, 0x400000,   0x1000, 0x20, 64, 0
W25Q80BV,    0xEF4014, 0x800000,   0x1000, 0x20, 64, 0
W25Q40BV,    0xEF4013, 0x400000,   0x1000, 0x20, 64, 0
W25Q16BV,    0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0
W25Q32BV,    0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0
W25Q64BV,    0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0
W25Q128BV,   0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0
W25Q16CV,    0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0
W25Q64CV,    0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0
W25Q64FV,    0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0
W25Q64FV,    0xEF6017, 0x4000000,  0x1000, 0x20, 64, 0
W25Q128FV,   0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0
W25Q128FV,   0xEF6018, 0x8000000,  0x1000, 0x20, 64, 0
W25Q256FVFIQ, 0xEF4019, 0x10000000, 0x1000, 0x20, 64, 0
W25Q128FVFIQ, 0xEF4018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q128FVFIQ, 0xEF6018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q128FVSIQ, 0xEF4018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q128FVSIQ, 0xEF6018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q64FVSSIQ, 0xEF4017, 0x4000000, 0x1000, 0x20, 64, 0
W25Q64FVSSIQ, 0xEF6017, 0x4000000, 0x1000, 0x20, 64, 0
W25Q32FVSSIQ, 0xEF4016, 0x2000000, 0x1000, 0x20, 64, 0
W25Q32FVSSIQ, 0xEF6016, 0x2000000, 0x1000, 0x20, 64, 0
W25Q16CVSSIQ, 0xEF4015, 0x1000000, 0x1000, 0x20, 64, 0
W25Q16DVSSIQ, 0xEF4015, 0x1000000, 0x1000, 0x20, 64, 0
W25R64FVSSIQ, 0xEF4017, 0x4000000, 0x1000, 0x20, 64, 0
W25R128FVSIQ, 0xEF4018, 0x8000000, 0x1000, 0x20, 64, 0
;macronix
MX25L4006E,   0xC22013,   0x400000,  0x1000,  0x20, 64, 0
MX25L8005,    0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L8006E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L8036E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L8073E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L8075E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L1605A,   0xC22015,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1605D,   0xC22015,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1635D,   0xC22015,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1606E,   0xC22015,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1636E,   0xC22515,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1673E,   0xC22415,  0x1000000,  0x1000,  0x20, 64, 0
MX25L1675E,   0xC22415,  0x1000000,  0x1000,  0x20, 64, 0
MX25L3205A,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3205D,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3225D,   0xC25E16,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3235D,   0xC25E16,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3236D,   0xC25E16,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3206E,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3273E,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L3275E,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L6405D,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6406E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
