;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
SST25VF020,  0xBF43,   0x200000,  0x1000,  0x20, 1,  1, 0x60, 80000
SST25VF040,  0xBF44,   0x400000,  0x1000,  0x20, 1,  0, 0x60, 80000
SST25VF080B, 0xBF8E,   0x800000,  0x1000,  0x20, 1,  0, 0x60, 80000
SST25VF080B, 0xBF258E, 0x800000,  0x1000,  0x20, 1,  0, 0x60, 80000
SST25VF080A, 0xBF80,   0x800000,  0x1000,  0x20, 1,  0, 0x60, 80000
SST25VF016B, 0xBF2541, 0x1000000, 0x1000,  0x20, 1,  0, 0x60, 80000
MX25L1605A,  0xC22015, 0x1000000, 0x1000,  0x20, 64, 0, 0x60, 80000
MX25L80005,  0xC22014, 0x800000,  0x1000,  0x20, 64, 0, 0x60, 80000
ST-M25PE80,  0x208014, 0x800000,  0x100,   0xDB, 64, 0, -1, 80000
M25PE80,     0x2080,   0x800000,  0x10000, 0xD8, 1,  0, 0xc7, 80000
AT26DF081,   0x1F4500, 0x800000,  0x1000,  0x20, 1,  0, 0x60, 80000
AT26DF081A,  0x1F4501, 0x800000,  0x1000,  0x20, 64, 0, 0x60, 80000
AT26DF161,   0x1F4600, 0x1000000, 0x1000,  0x20, 64, 0, 0x60, 80000
AT26DF321,   0x1F4700, 0x2000000, 0x1000,  0x20, 64, 0, 0x60, 80000
W25X40,	     0xEF3013, 0x400000,  0x1000, 0xD8, 64, 0, 0xc7, 80000
W25X80,	     0xEF3014, 0x800000,  0x1000, 0xD8, 64, 0, 0xc7, 80000
W25X16,	     0xEF3015, 0x1000000,  0x1000, 0xD8, 64, 0, 0xc7, 80000
W25X32,	     0xEF3016, 0x2000000,  0x1000, 0xD8, 64, 0, 0xc7, 80000
W25X64,	     0xEF3017, 0x4000000,  0x1000, 0xD8, 64, 0, 0xc7, 80000
W25X40V,	     0xEF3013, 0x400000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X80V,	     0xEF3014, 0x800000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X16V,	     0xEF3015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X32V,	     0xEF3016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X64V,	     0xEF3017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q40BV,	     0xEF4013, 0x400000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q80BV,	     0xEF4014, 0x800000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X16BV,	     0xEF3015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X32BV,	     0xEF3016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X64BV,	     0xEF3017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16BV,	     0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32BV,	     0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64BV,	     0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q128BV,	     0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16CV,	     0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32CV,	     0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64CV,	     0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16FV,	     0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32FV,	     0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64FV,	     0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
QB25F016S33B8, 0x898911, 0x1000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
QB25F032S33B8, 0x898912, 0x2000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
